File generated on // Fichier créé sur,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, NO2 // NO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb // ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
NO2,10102,St Johns,NL,47.56038,-52.71147,20180101,5,4,6,7,4,4,5,6,4,3,3,2,2,2,3,4,7,8,5,3,3,6,4,7
NO2,10102,St Johns,NL,47.56038,-52.71147,20180102,5,4,4,3,4,6,9,7,13,12,17,8,5,12,10,12,13,9,12,13,4,8,5,6
NO2,10102,St Johns,NL,47.56038,-52.71147,20180103,5,4,4,7,4,3,4,6,10,11,7,5,4,4,4,5,5,6,4,3,3,3,3,6
NO2,10102,St Johns,NL,47.56038,-52.71147,20180104,4,5,4,7,10,17,20,22,25,25,25,16,26,33,22,19,9,8,5,2,5,3,3,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180105,3,4,5,9,9,6,6,10,36,23,4,5,3,3,3,5,5,3,8,12,21,12,4,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180106,6,1,1,2,1,2,1,2,3,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180107,2,2,3,3,2,4,3,2,2,2,1,1,2,2,2,2,3,2,2,3,2,2,2,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180108,1,1,0,1,1,2,2,2,4,3,3,4,4,4,4,5,6,7,5,3,3,4,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180109,4,3,3,3,4,8,8,18,21,11,27,10,9,11,11,10,8,5,6,4,4,8,4,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180110,3,3,3,2,3,3,3,2,3,3,3,2,2,3,1,2,3,2,2,2,2,2,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180111,2,3,1,2,2,4,6,8,12,6,4,3,6,6,6,5,5,4,3,2,2,2,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180112,3,2,2,2,5,6,9,8,11,7,6,6,7,4,3,3,3,2,2,1,1,1,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180113,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180114,1,0,0,0,0,1,0,1,1,1,1,1,1,3,1,1,1,1,3,4,5,3,2,0
NO2,10102,St Johns,NL,47.56038,-52.71147,20180115,1,0,0,0,0,0,1,2,6,4,2,5,7,7,5,7,8,12,13,14,14,12,15,26
NO2,10102,St Johns,NL,47.56038,-52.71147,20180116,16,10,7,7,7,8,7,8,9,8,10,12,6,4,3,4,4,4,5,6,12,11,4,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180117,6,5,3,3,3,5,6,7,10,11,7,10,6,5,8,9,9,10,10,11,14,19,23,28
NO2,10102,St Johns,NL,47.56038,-52.71147,20180118,8,16,23,28,19,11,8,10,10,11,13,7,5,3,3,4,4,4,3,4,4,1,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180119,1,2,1,4,9,15,15,15,16,12,10,9,6,9,15,10,7,5,5,4,5,3,3,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180120,4,4,3,4,6,7,6,7,5,5,4,3,3,2,4,4,3,3,2,3,2,1,3,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180121,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,1,1,2,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180122,2,2,3,5,3,3,2,3,3,4,3,3,3,2,1,2,2,2,1,1,2,3,3,8
NO2,10102,St Johns,NL,47.56038,-52.71147,20180123,2,1,1,2,3,4,4,8,9,13,10,6,-999,10,8,7,13,10,8,11,9,10,14,32
NO2,10102,St Johns,NL,47.56038,-52.71147,20180124,3,1,2,2,2,2,3,4,4,5,4,3,5,4,5,4,5,2,3,3,3,2,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180125,3,2,2,2,2,2,2,4,4,4,4,3,4,4,4,5,5,6,4,4,4,4,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180126,2,2,2,2,1,3,3,9,19,9,7,7,6,4,5,5,7,6,5,5,5,7,6,8
NO2,10102,St Johns,NL,47.56038,-52.71147,20180127,8,4,4,6,5,4,4,4,5,4,5,3,3,3,3,3,4,9,8,5,6,7,5,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180128,5,3,2,2,1,1,1,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180129,3,4,4,4,6,4,7,11,20,14,11,7,5,7,5,6,6,8,23,20,21,19,16,16
NO2,10102,St Johns,NL,47.56038,-52.71147,20180130,16,16,15,16,14,14,14,17,14,12,23,13,11,13,27,14,18,26,28,6,2,2,3,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180131,4,1,3,2,2,2,2,2,3,4,3,3,4,3,3,3,4,3,2,2,2,3,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180201,2,2,2,2,3,3,3,4,4,7,6,2,2,1,2,2,3,4,2,2,3,3,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180202,0,0,0,0,0,0,1,1,2,2,3,2,2,2,1,2,4,3,2,1,1,2,1,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180203,1,0,0,0,0,0,1,2,2,2,2,3,4,3,4,3,3,4,4,3,4,4,4,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180204,3,3,3,3,4,3,4,7,4,3,3,2,2,3,2,2,2,4,5,3,3,2,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180205,1,2,1,2,2,1,2,3,4,4,5,5,5,6,5,5,5,3,3,3,3,3,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180206,2,1,2,2,2,2,3,5,6,5,3,2,3,3,5,3,5,4,4,3,2,3,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180207,2,1,1,1,2,2,3,7,9,5,8,9,12,16,7,8,9,7,8,7,3,3,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180208,2,2,1,1,1,3,2,3,4,3,3,2,2,1,2,2,3,3,2,3,2,2,-999,-999
NO2,10102,St Johns,NL,47.56038,-52.71147,20180209,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,3,2,3,3,5,5,5,3,4,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180210,4,4,7,8,10,11,8,9,7,5,1,2,2,2,2,2,2,3,3,2,2,2,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180211,1,1,1,1,1,0,0,1,1,2,2,2,1,0,1,1,3,10,5,3,9,7,9,10
NO2,10102,St Johns,NL,47.56038,-52.71147,20180212,10,11,11,12,6,5,7,12,9,1,2,4,3,3,4,4,4,4,4,3,2,2,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180213,2,2,2,2,2,2,2,2,2,3,4,2,1,2,2,2,3,3,2,2,1,1,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180214,1,1,1,2,2,2,3,12,9,4,4,5,4,3,3,3,4,3,2,2,2,2,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180215,2,3,2,3,3,4,6,7,11,7,3,3,4,4,4,4,27,30,29,36,30,12,8,9
NO2,10102,St Johns,NL,47.56038,-52.71147,20180216,7,6,4,6,6,3,5,9,8,16,15,8,8,15,6,4,12,9,5,3,2,3,4,4
NO2,10102,St Johns,NL,47.56038,-52.71147,20180217,8,17,13,16,8,5,2,3,2,1,1,2,2,2,1,1,1,1,1,2,2,2,3,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180218,1,1,1,1,2,2,3,2,2,2,2,1,1,8,17,25,15,5,12,16,13,21,10,12
NO2,10102,St Johns,NL,47.56038,-52.71147,20180219,5,4,3,3,3,3,5,6,4,3,3,2,2,2,2,2,4,7,18,22,21,20,12,8
NO2,10102,St Johns,NL,47.56038,-52.71147,20180220,6,7,7,4,3,4,6,7,9,7,6,3,3,5,3,4,5,10,19,2,2,2,4,1
NO2,10102,St Johns,NL,47.56038,-52.71147,20180221,1,1,0,1,1,1,4,7,6,17,10,9,7,7,5,6,5,5,4,2,2,1,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180222,3,3,3,2,1,1,2,2,3,3,2,3,2,2,4,2,3,4,7,6,3,1,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180223,2,2,2,2,2,1,2,2,3,2,1,3,3,3,3,4,4,5,4,3,4,5,6,6
NO2,10102,St Johns,NL,47.56038,-52.71147,20180224,6,6,4,3,6,6,6,5,8,4,4,2,2,1,2,4,3,7,12,9,8,5,2,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180225,4,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,1,2,1,2,3,4,4,3
NO2,10102,St Johns,NL,47.56038,-52.71147,20180226,4,5,4,8,11,13,23,28,37,28,5,12,15,5,11,7,10,8,6,5,3,4,3,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180227,2,9,12,10,7,11,17,12,16,14,12,9,5,5,6,5,10,8,4,5,4,3,9,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180228,5,4,3,6,9,10,5,14,16,17,21,8,9,23,6,21,19,22,21,6,6,8,5,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180301,4,6,5,9,2,2,3,4,4,4,5,5,7,23,33,21,14,25,37,35,27,24,20,31
NO2,10102,St Johns,NL,47.56038,-52.71147,20180302,23,20,23,11,13,14,15,13,20,25,18,18,17,31,17,18,10,11,19,18,13,15,13,20
NO2,10102,St Johns,NL,47.56038,-52.71147,20180303,12,19,20,18,17,15,14,15,16,16,13,17,15,13,13,12,6,5,5,5,5,7,9,12
NO2,10102,St Johns,NL,47.56038,-52.71147,20180304,6,6,9,6,5,6,6,5,6,8,8,11,11,16,12,9,11,14,10,9,5,13,7,8
NO2,10102,St Johns,NL,47.56038,-52.71147,20180305,9,7,7,7,6,9,7,8,8,11,5,8,13,10,9,15,10,9,8,8,9,7,6,7
NO2,10102,St Johns,NL,47.56038,-52.71147,20180306,8,8,7,4,6,11,11,16,15,13,13,13,12,12,10,11,11,9,7,5,4,5,5,5
NO2,10102,St Johns,NL,47.56038,-52.71147,20180307,4,4,3,4,5,3,2,3,4,4,5,5,22,3,3,2,3,3,3,3,3,12,3,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180308,2,2,2,1,3,3,4,7,7,7,6,5,6,5,4,6,8,13,19,20,14,20,14,12
NO2,10102,St Johns,NL,47.56038,-52.71147,20180309,11,7,6,8,10,10,9,20,17,10,8,4,5,5,4,8,5,2,5,3,2,6,2,2
NO2,10102,St Johns,NL,47.56038,-52.71147,20180310,6,3,2,4,2,3,4,6,8,10,13,8,22,18,6,15,15,9,11,11,11,15,6,4
